X,Y,ID,UMKM,KEC.,USAHA,TK_TETAP,TK_LEPAS,IJIN,PEMASARAN,PEMASARA_1,JUMLAH PEM,OMZET,LONG,LAT
309628.505107603,9155945.66213888,5900,HADI MARNO/LANGGENG TOKO BESI,Kroya,Material dan Bangunan,3,0,SIUP/TDP/NPWP,50797,0,50797,50797,109.274242000000001,-7.632526637000000
303914.602075761,9158328.40856962,5901,SUWARTO,Kroya,Bahan Pokok,3,0,SIUP/TDP,50500,0,50500,50500,109.222549900000004,-7.610773589000000
302445.260637495,9155135.90675065,5902,SARIMIN,Kroya,Bahan Pokok,3,0,SIUP/TDP,50500,0,50500,50500,109.209115199999999,-7.639583046000000
307770.454023695,9154745.91062037,5903,SUNARTO,Kroya,Bahan Pokok,3,0,SIUP/TDP,50500,0,50500,50500,109.257359699999995,-7.643306632000000
302709.88010587,9156515.49518326,5905,NALNI ISAYAH,Kroya,Almari,6,0,SIUP/TDP,50000,0,50000,50000,109.211565100000001,-7.627119745000000
306471.292773172,9153562.48976801,5906,A. SUMODIHARJO,Kroya,Ubur-ubur,6,0,,50000,0,50000,50000,109.245542299999997,-7.653958763000000
304468.513399906,9157239.09419504,5908,SUDARTO,Kroya,Perajin Tahu,3,0,,49572,0,49572,49572,109.227528800000002,-7.620643029000000
307882.260670586,9154894.52306144,5909,SUKIMAN,Kroya,Alat Rumahtangga,2,0,SIUP TDP,59732,0,59732,59732,109.258378399999998,-7.641967042000000
306340.256554579,9159975.46403312,5911,SUPARMAN,Kroya,Sikat Ketrok,3,0,,48000,0,48000,48000,109.244591099999994,-7.595971400000000
303085.815979791,9156183.99672036,5912,MARTONO,Kroya,Tempe Kedelai,2,0,,48000,0,48000,48000,109.214959399999998,-7.630130993000000
302435.986452139,9153628.02707225,5913,MUCH SURURUDIN,Kroya,Rokok Kretek,8,0,,47424,0,47424,47424,109.208974299999994,-7.653215826000000
304016.455999121,9153750.98385024,5915,SARIJO,Kroya,Pengrajin tas,2,0,,45000,0,45000,45000,109.223302000000004,-7.652163403000000
308402.78725505,9156656.07138196,5921,TULKHAN,Kroya,Jamur,2,0,,43200,0,43200,43200,109.263159999999999,-7.626058959000000
307290.165027247,9158126.76174528,5922,AMINJOYO,Kroya,Perajin Tempe,2,0,,41184,0,41184,41184,109.253131100000004,-7.612721135000000
308033.996990668,9156381.15671166,5924,DIMYATI,Kroya,Perajin Tempe,3,0,,41184,0,41184,41184,109.259807899999998,-7.628531173000000
